condition_id,product_id,condition_type,rate_bonus,threshold_value,exclusive_group,evidence_text,source_url,verification_status,confidence_badge
CU-11022-1715-스마트폰-12-COND-2,CU-11022-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-06204-1715-스마트폰-12-COND-1,CU-06204-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적에 따른 우대금리,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-06204-1715-스마트폰-12-COND-2,CU-06204-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적에 따른 우대금리,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-02015-1715-스마트폰-12-COND-1,CU-02015-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-02015-1715-스마트폰-12-COND-2,CU-02015-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-05052-1715-스마트폰-12-COND-1,CU-05052-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-05052-1715-스마트폰-12-COND-2,CU-05052-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-07112-1715-스마트폰-12-COND-1,CU-07112-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-07112-1715-스마트폰-12-COND-2,CU-07112-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-07112-1714-영업점-12-COND-1,CU-07112-1714-영업점-12,카드실적,0.2,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
